Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Fang_total_count,Fang_average_count_per_deck,Fang_average_count_per_normalized_deck,Fang_pick_rate,Cindra_total_count,Cindra_average_count_per_deck,Cindra_average_count_per_normalized_deck,Cindra_pick_rate,"Arakni, Web of Deceit_total_count","Arakni, Web of Deceit_average_count_per_deck","Arakni, Web of Deceit_average_count_per_normalized_deck","Arakni, Web of Deceit_pick_rate",weighted_pick_rate
Whittle from Bone (blue),rare,3,HNT022,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT022.png,kBGMnLgMjhm9DPqzNCWwb,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,16,0.07920792079207921,0.06526238277610008,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.10683428419383131,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,0.22535211267605634,0.18567607494045377,0.3039618178859856,0.1013206059619952
Stains of the Redback (red),rare,1,HNT023,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT023.png,P768PhtTzKDbp9gCpqtFC,Red,1,1,,3,,,,"Assassin, Attack Reaction",,,,,Go again,,"Mark, Stealth","""If the defending hero is **marked**, this costs {r} less to play.",,,,,,,,27,0.13366336633663367,0.11582279507256739,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.18028285457709034,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,0.38028169014084506,0.3295240085163185,0.5129355676826006,0.17097852256086687
Stains of the Redback (yellow),rare,2,HNT024,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT024.png,WPdnr6nkq86kzNgfjjqtg,Yellow,2,1,,3,,,,"Assassin, Attack Reaction",,,,,Go again,,"Mark, Stealth","""If the defending hero is **marked**, this costs {r} less to play.",,,,,,,,22,0.10891089108910891,0.09383926961345498,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.14689714076651805,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22,0.30985915492957744,0.266979330449548,0.41794749959323013,0.13931583319774338
Stains of the Redback (blue),rare,3,HNT025,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT025.png,kzPMkNT6bGwHTdGCqGBBj,Blue,3,1,,3,,,,"Assassin, Attack Reaction",,,,,Go again,,"Mark, Stealth","""If the defending hero is **marked**, this costs {r} less to play.",,,,,,,,18,0.0891089108910891,0.07610848528395199,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.12018856971806023,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18,0.2535211267605634,0.21653400038532822,0.34195704512173375,0.11398568170724459
Orb-Weaver Spinneret (red),rare,1,HNT026,"Assassin, Action",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT026.png,rLgr6PwGt9TtRFMwTFQf7,Red,1,0,,3,,,,"Assassin, Action",,Go again,,,,,Stealth,"""Equip a Graphene Chelicera token.",,,,,,,,21,0.10396039603960396,0.08930740684411408,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.1402199980044036,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,0.29577464788732394,0.2540858617255076,0.3989498859753561,0.13298329532511868
Orb-Weaver Spinneret (yellow),rare,2,HNT027,"Assassin, Action",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT027.png,T8Djg7CtcKNrhdbfBCb8t,Yellow,2,0,,3,,,,"Assassin, Action",,Go again,,,,,Stealth,"""Equip a Graphene Chelicera token.",,,,,,,,21,0.10396039603960396,0.08744392700305706,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.1402199980044036,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,0.29577464788732394,0.2487841303467257,0.3989498859753561,0.13298329532511868
Orb-Weaver Spinneret (blue),rare,3,HNT028,"Assassin, Action",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT028.png,HDJFD6zmgqHN9jfNNMDCD,Blue,3,0,,3,,,,"Assassin, Action",,Go again,,,,,Stealth,"""Equip a Graphene Chelicera token.",,,,,,,,15,0.07425742574257425,0.06434188515944486,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.10015714143171686,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,0.2112676056338028,0.18305719439729384,0.2849642042681115,0.09498806808937049
Back Stab (red),common,1,HNT029,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT029.png,CkjpBRMfBFdf6fK6rbdWg,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,,"""**Stealth**",,,,,,,,43,0.21287128712871287,0.18474422880851085,2.3414634146341466,2.3414634146341466,2.4387079024390252,0.08982416792061203,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,0.6056338028169014,0.5256103411171716,0.2547812076683118,0.0849270692227706
Defang the Dragon (red),common,1,HNT030,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT030.png,WtHNCTfp87TNpG7jLRKFR,Red,1,0,3,3,,,,"Assassin, Action, Attack",,"Stealth, Contract",,,,,Mark,"""**Stealth**",,,,,,,,45,0.22277227722772278,0.19453471551508342,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.1648202078933687,0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,0.6338028169014085,0.5534649652682655,0.46767750071026526,0.15589250023675508
Extinguish the Flames (red),common,1,HNT031,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT031.png,CzcCpTjr7dMR96NzwhLdk,Red,1,0,3,3,,,,"Assassin, Action, Attack",,"Stealth, Contract",,,,,Mark,"""**Stealth**",,,,,,,,39,0.19306930693069307,0.16482737068605388,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.14284418017425288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,39,0.5492957746478874,0.4689454771631392,0.40532050061556324,0.13510683353852107
Mark of the Black Widow (red),common,1,HNT032,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT032.png,hCc9J9k6MLJPh7rgzRhwg,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,83,0.41089108910891087,0.3498394242497145,2.50813074796748,2.50813074796748,2.6053999024390238,0.16198874046530215,0,0.0,0.0,0.0,0,0.0,0.0,0.0,83,1.1690140845070423,0.9953177985696102,0.4595631972730545,0.1531877324243515
Mark of the Black Widow (yellow),common,2,HNT033,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT033.png,8PNj9qcfb8mnpfGwQBncz,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,41,0.20297029702970298,0.1761383259744178,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.15016952274729148,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,0.5774647887323944,0.5011259415046817,0.42610616731379725,0.1420353891045991
Mark of the Black Widow (blue),common,3,HNT034,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT034.png,LwCDpdzLhqfQCJNBFCMcj,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,63,0.3118811881188119,0.26824575526754657,2.50813074796748,2.50813074796748,2.6053999024390238,0.12295530902787993,0,0.0,0.0,0.0,0,0.0,0.0,0.0,63,0.8873239436619719,0.7631780642823156,0.34882507744822205,0.11627502581607402
Mark of the Funnel Web (red),common,1,HNT035,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT035.png,9JwCpdKkGbHhD6JfmK687,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,61,0.30198019801980197,0.2574888252633732,2.50813074796748,2.50813074796748,2.6053999024390238,0.11905196588413772,0,0.0,0.0,0.0,0,0.0,0.0,0.0,61,0.8591549295774648,0.7325738408901603,0.33775126546573886,0.11258375515524628
Mark of the Funnel Web (yellow),common,2,HNT036,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT036.png,nDLtfLWzrmGBGbB8mFdDw,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,30,0.1485148514851485,0.12600891791885335,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.10988013859557913,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,0.4225352112676056,0.3585042453465968,0.31178500047351015,0.10392833349117005
Mark of the Funnel Web (blue),common,3,HNT037,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT037.png,PPzjfmqjC76wFt8RHT8K8,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,61,0.30198019801980197,0.2606077869018225,2.50813074796748,2.50813074796748,2.6053999024390238,0.11905196588413772,0,0.0,0.0,0.0,0,0.0,0.0,0.0,61,0.8591549295774648,0.7414475063967345,0.33775126546573886,0.11258375515524628
Mark the Prey (red),common,1,HNT038,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT038.png,qDPLzntJrMhgwd86gTN97,Red,1,0,3,3,,,,"Assassin, Action, Attack",,"Stealth, Mark",,,,,,"""**Stealth**",,,,,,,,84,0.4158415841584158,0.35482585327937977,2.50813074796748,2.50813074796748,2.6053999024390238,0.16394041203717324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,84,1.1830985915492958,1.009504540315982,0.46510010326429607,0.15503336775476537
Mark the Prey (yellow),common,2,HNT039,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT039.png,cJwfJgPHC8M7fQgrMhKHC,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,"Stealth, Mark",,,,,,"""**Stealth**",,,,,,,,36,0.1782178217821782,0.15285379545955902,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.13185616631469496,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,0.5070422535211268,0.4348798124342383,0.3741420005682122,0.12471400018940405
Mark the Prey (blue),common,3,HNT040,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT040.png,7qKwRbLbdMzcBLLJK9d6R,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,"Stealth, Mark",,,,,,"""**Stealth**",,,,,,,,69,0.3415841584158416,0.2922743446561864,2.50813074796748,2.50813074796748,2.6053999024390238,0.1346653384591066,0,0.0,0.0,0.0,0,0.0,0.0,0.0,69,0.971830985915493,0.8315410932471783,0.3820465133956718,0.12734883779855727
Plunge the Prospect (red),common,1,HNT041,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT041.png,Tn8F8pBjHjqW7rfPLw9Wg,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,88,0.43564356435643564,0.3738898372747204,2.50813074796748,2.50813074796748,2.6053999024390238,0.17174709832465768,0,0.0,0.0,0.0,0,0.0,0.0,0.0,88,1.2394366197183098,1.0637429173168103,0.4872477272292626,0.16241590907642087
Plunge the Prospect (yellow),common,2,HNT042,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT042.png,r7GmThKTHQtDW6RcFbdPR,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,44,0.21782178217821782,0.1909262942084878,2.50813074796748,2.50813074796748,2.6053999024390238,0.08587354916232884,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44,0.6197183098591549,0.5431987525368245,0.2436238636146313,0.08120795453821043
Plunge the Prospect (blue),common,3,HNT043,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT043.png,nM9GmbLjcNCPLTjfBH7fk,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,,,,,Mark,"""**Stealth**",,,,,,,,39,0.19306930693069307,0.165429428669704,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.14284418017425288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,39,0.5492957746478874,0.4706583745250733,0.40532050061556324,0.13510683353852107
Reaper's Call (red),common,1,HNT044,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT044.png,bMLgLcCJHFbLj6bwqqNRN,Red,1,0,3,3,,,,"Assassin, Action, Attack",,Stealth,Instant,Mark,,,,"""**Stealth**",,,,,,,,65,0.3217821782178218,0.27722348859551815,2.50813074796748,2.50813074796748,2.6053999024390238,0.12685865217162215,0,0.0,0.0,0.0,0,0.0,0.0,0.0,65,0.9154929577464789,0.7887203478351361,0.3598988894307053,0.11996629647690177
Reaper's Call (yellow),common,2,HNT045,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT045.png,9nTj8GF9trQwMPgCzGq8w,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,Stealth,Instant,Mark,,,,"""**Stealth**",,,,,,,,67,0.3316831683168317,0.28491524101791404,2.50813074796748,2.50813074796748,2.6053999024390238,0.13076199531536437,0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,0.9436619718309859,0.8106039251495583,0.37097270141318855,0.12365756713772952
Reaper's Call (blue),common,3,HNT046,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT046.png,fdPTtmjCBrQLfrMFNQb6P,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,Stealth,Instant,Mark,,,,"""**Stealth**",,,,,,,,59,0.29207920792079206,0.24821334242820847,2.50813074796748,2.50813074796748,2.6053999024390238,0.1151486227403955,0,0.0,0.0,0.0,0,0.0,0.0,0.0,59,0.8309859154929577,0.7061844390211002,0.3266774534832556,0.10889248449441853
Scuttle the Canal (red),common,1,HNT047,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT047.png,CN9QrzcRcRDrRhPRqJCwk,Red,1,0,3,3,,,,"Assassin, Action, Attack",,"Stealth, Go again",,,,,Go again,"""**Stealth**",,,,,,,,73,0.3613861386138614,0.31035369438381794,2.50813074796748,2.50813074796748,2.6053999024390238,0.14247202474659104,0,0.0,0.0,0.0,0,0.0,0.0,0.0,73,1.028169014084507,0.8829781164159327,0.40419413736063825,0.13473137912021274
Scuttle the Canal (yellow),common,2,HNT048,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT048.png,Mg77gjkkQbDzcK6cQfBGf,Yellow,2,0,2,3,,,,"Assassin, Action, Attack",,"Stealth, Go again",,,,,Go again,"""**Stealth**",,,,,,,,23,0.11386138613861387,0.09737456922533402,1.3373990406504066,1.3373990406504066,1.3860459512195122,0.084241439589944,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,0.323943661971831,0.27703750681010525,0.23903516702969113,0.07967838900989704
Scuttle the Canal (blue),common,3,HNT049,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT049.png,FH6ffcgjbnGTRQTtwwWGh,Blue,3,0,1,3,,,,"Assassin, Action, Attack",,"Stealth, Go again",,,,,Go again,"""**Stealth**",,,,,,,,82,0.40594059405940597,0.3482642217478453,2.50813074796748,2.50813074796748,2.6053999024390238,0.16003706889343103,0,0.0,0.0,0.0,0,0.0,0.0,0.0,82,1.1549295774647887,0.9908362365220389,0.4540262912818129,0.15134209709393762
Razor's Edge (red),common,1,HNT050,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT050.png,rpWjb6pnqgzTH7Cgcf98w,Red,1,0,,3,,,,"Assassin, Attack Reaction",,,,,,,Stealth,Target attack action card with **stealth** gets +3{p}.,Assassin Attack Reaction,,,,,,,75,0.3712871287128713,0.31744243134077443,2.3414634146341466,2.3414634146341466,2.4387079024390252,0.15667006032664887,0,0.0,0.0,0.0,0,0.0,0.0,0.0,75,1.056338028169014,0.9031460722653019,0.44438582732845083,0.1481286091094836
Two Sides to the Blade (red),common,1,HNT051,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT051.png,wNtNbFgrfzcjJTMwRbkcg,Red,1,1,,3,,,,"Assassin, Attack Reaction",,,,,Mark,,Stealth,"""Choose 1;",,,,,,,,70,0.3465346534653465,0.2977255435304403,2.50813074796748,2.50813074796748,2.6053999024390238,0.1366170100309777,0,0.0,0.0,0.0,0,0.0,0.0,0.0,70,0.9859154929577465,0.8470501379316752,0.38758341938691343,0.12919447312897114
Hunted or Hunter (red),common,1,HNT052,"Assassin, Defense Reaction, Trap",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT052.png,ckmHzhDHLgzTzzDgKfWgH,Red,1,0,,3,,,,"Assassin, Defense Reaction, Trap",,,,,,,,"When this defends and the attacking hero has played or activated an attack reaction this chain link, they lose 1{h}.",Assassin Defense Reaction - Trap,,,,,,,84,0.4158415841584158,0.35959585416121137,2.50813074796748,2.50813074796748,2.6053999024390238,0.16394041203717324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,84,1.1830985915492958,1.023075528740348,0.46510010326429607,0.15503336775476537
Blood Runs Deep (red),mythic,1,HNT057,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT057.png,PtT7qcpC9QCBBMq6mHP88,Red,1,2,2,3,,,,"Draconic, Ninja, Action, Attack",,,,,,,,"""This costs {r} less to play for each Draconic chain link you control.",,,,,,,,7,0.034653465346534656,0.02823924944821245,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.14941759369966637,0,0.0,0.0,0.0,7,0.14893617021276595,0.12136868911784926,0.6421643654553736,0,0.0,0.0,0.0,0.21405478848512452
Ignite (red),mythic,1,HNT058,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT058.png,8CbBPCmzNRmddJKTgCFmj,Red,1,0,2,2,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""When this attacks, the next Draconic card you play or activate this combat chain costs {r} less to play or activate.",,,,,,,,3,0.01485148514851485,0.012528279855012531,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.06403611158557129,0,0.0,0.0,0.0,3,0.06382978723404255,0.053844947461968745,0.2752132994808744,0,0.0,0.0,0.0,0.0917377664936248
Demonstrate Devotion (red),rare,1,HNT059,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT059.png,wmdN6gnj6gdcdfWDMnqK6,Red,1,1,4,2,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""If you control 2 or more Draconic chain links, this gets **go again** and """"When this attacks a hero, create a Fealty token.""""""",Draconic Ninja Action - Attack,,,,,No,,21,0.10396039603960396,0.09243781474853238,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.1402199980044036,0,0.0,0.0,0.0,21,0.44680851063829785,0.3972859272170966,0.602649317779684,0,0.0,0.0,0.0,0.20088310592656133
Display Loyalty (red),rare,1,HNT060,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT060.png,cKp6hPc7WTW8Q98cHPM9P,Red,1,0,3,2,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""If you control 2 or more Draconic chain links, this gets **go again** and """"When this attacks a hero, create a Fealty token.""""""",Draconic Ninja Action - Attack,,,,,No,,14,0.06930693069306931,0.06016031999042452,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.0934799986696024,0,0.0,0.0,0.0,14,0.2978723404255319,0.2585613752779947,0.4017662118531227,0,0.0,0.0,0.0,0.13392207061770758
