Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Marlynn_total_count,Marlynn_average_count_per_deck,Marlynn_average_count_per_normalized_deck,Marlynn_pick_rate,Puffin_total_count,Puffin_average_count_per_deck,Puffin_average_count_per_normalized_deck,Puffin_pick_rate,Gravy Bones_total_count,Gravy Bones_average_count_per_deck,Gravy Bones_average_count_per_normalized_deck,Gravy Bones_pick_rate,"Scurv, Stowaway_total_count","Scurv, Stowaway_average_count_per_deck","Scurv, Stowaway_average_count_per_normalized_deck","Scurv, Stowaway_pick_rate",weighted_pick_rate
Tough Old Wrench (yellow),common,2,SEA034,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA034.webp,9dPrwcgFKcd8zk8PpwfRJ,Yellow,2,2,5,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,70,0.1580135440180587,0.1345505104813869,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.06903986645613769,0,0.0,0.0,0.0,70,0.5691056910569106,0.4846006190508487,0.24830868335870562,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.062077170839676406
Tough Old Wrench (blue),common,3,SEA035,"Mechanologist, Action, Attack",https://prod-content.fabrary.io/cards/SEA035.webp,zLMWLzKGcdNnndTcD89gT,Blue,3,2,4,2,,,,"Mechanologist, Action, Attack",,Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,,88,0.1986455981941309,0.16996231536395354,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.08679297497343023,0,0.0,0.0,0.0,88,0.7154471544715447,0.6121406967986295,0.3121594876509442,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07803987191273605
Goldwing Turbine (red),common,1,SEA036,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA036.webp,8nwFDqnJ8nCHfBMLrwBnr,Red,1,2,,3,,,,"Mechanologist, Action",,,,,,,,"""Your next Mechanologist attack this turn gets +3{p}.",,,,,,,,141,0.3182844243792325,0.26789436787242815,2.4207852014652014,2.4347523450980395,3.139579792252512,0.11376993034940817,0,0.0,0.0,0.0,141,1.146341463414634,0.9648553249389078,0.4106120588819777,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10265301472049443
Goldwing Turbine (yellow),common,2,SEA037,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA037.webp,CwgjPFFG8MpkRF8ztzgFg,Yellow,2,2,,3,,,,"Mechanologist, Action",,,,,,,,"""Your next Mechanologist attack this turn gets +2{p}.",,,,,,,,134,0.30248306997742663,0.25700695033687565,2.4207852014652014,2.4347523450980395,3.139579792252512,0.10812177777887018,0,0.0,0.0,0.0,134,1.089430894308943,0.9256429186929749,0.39022706305095756,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09755676576273939
Goldwing Turbine (blue),common,3,SEA038,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA038.webp,tDL9LBtmCdmkrNnQzRhQ9,Blue,3,2,,3,,,,"Mechanologist, Action",,,,,,,,"""Your next Mechanologist attack this turn gets +1{p}.",,,,,,,,134,0.30248306997742663,0.2553832627734056,2.4207852014652014,2.4347523450980395,3.139579792252512,0.10812177777887018,0,0.0,0.0,0.0,134,1.089430894308943,0.9197950033221031,0.39022706305095756,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09755676576273939
Draw Back the Hammer (red),common,1,SEA039,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA039.webp,L9p7KwzTpjnpPGqjnDgqn,Red,1,1,,2,,,,"Mechanologist, Action",,Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,,113,0.255079006772009,0.21716963576852405,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.11145007013633657,0,0.0,0.0,0.0,113,0.9186991869918699,0.7821638101256598,0.40084116027905337,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10021029006976334
Perk Up (red),common,1,SEA040,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA040.webp,nrwKjjNcwNLF9KwWNLmHP,Red,1,1,,2,,,,"Mechanologist, Action",,Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,,132,0.2979683972911964,0.252729991680379,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.13018946246014537,0,0.0,0.0,0.0,132,1.0731707317073171,0.9102389131252674,0.46823923147641633,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11705980786910408
Tighten the Screws (red),common,1,SEA041,"Mechanologist, Action",https://prod-content.fabrary.io/cards/SEA041.webp,pK8JkmbJz7PNtMJCLPTHN,Red,1,1,,2,,,,"Mechanologist, Action",,Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,,111,0.2505643340857788,0.21211346334929448,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.10947750252330406,0,0.0,0.0,0.0,111,0.9024390243902439,0.7639533679978655,0.3937466264688046,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09843665661720115
Washed Up Wave,common,0,SEA046,"Pirate, Necromancer, Equipment, Arms",https://prod-content.fabrary.io/cards/SEA046.webp,QtHWQMww79tzzPLJfbQBp,,,,,0,,,,"Pirate, Necromancer, Equipment, Arms",,Blade Break,,,,,Watery Grave,"""When this defends, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +2{d}.",,,,,,,,119,0.2686230248306998,0.0,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.15714027962977012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,119,0.6467391304347826,0.0,0.37772667427663675,0,0.0,0.0,0.0,0.09443166856915919
Blood in the Water (red),mythic,1,SEA047,"Pirate, Necromancer, Defense Reaction",https://prod-content.fabrary.io/cards/SEA047.webp,mhWb9WptjzMQtB99PWNBr,Red,1,0,,4,,,,"Pirate, Necromancer, Defense Reaction",,,,,,,Watery Grave,"When this defends, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +2{d}.",Pirate Necromancer Defense Reaction,,,,No,No,,21,0.04740406320541761,0.03935335296174558,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.2635890591867594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,0.11413043478260869,0.09474747479376788,0.6331802166517475,0,0.0,0.0,0.0,0.15829505416293688
Chart the High Seas (blue),mythic,3,SEA048,"Pirate, Necromancer, Action",https://prod-content.fabrary.io/cards/SEA048.webp,jMMDM8cd7Dc8LdWWN7GzR,Blue,3,0,,3,,,,"Pirate, Necromancer, Action",,Go again,,,,,,"""Look at the top 2 cards of your deck. You may pitch a blue card from among them. Put the rest into your graveyard.",,,,,,,,4,0.009029345372460496,0.00802642765337312,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.05020743984509703,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.021739130434782608,0.0193244970132842,0.12060575555271381,0,0.0,0.0,0.0,0.030151438888178454
Give No Quarter (blue),mythic,3,SEA049,"Pirate, Necromancer, Action",https://prod-content.fabrary.io/cards/SEA049.webp,dMBRGmmzWTNGjDRbRMzMn,Blue,3,0,,3,,,,"Pirate, Necromancer, Action",,Go again,,,,,,"""The next 2 ally cards with watery grave you play this turn cost {r}{r}{r} less to play.",,,,,,,,12,0.02708803611738149,0.022632868033283158,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.1506223195352911,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,0.06521739130434782,0.05449108988448065,0.3618172666581414,0,0.0,0.0,0.0,0.09045431666453535
"Chum, Friendly First Mate (yellow)",mythic,2,SEA050,"Pirate, Necromancer, Action, Ally",https://prod-content.fabrary.io/cards/SEA050.webp,mwBrbdjPn7h8nPpCNzpMR,Yellow,2,4,4,,6,,,"Pirate, Necromancer, Action, Ally",,Watery Grave,"Action, Instant",Attack,,,Watery Grave,"""**Action** - {t}: **Attack**",,,,,,,,21,0.04740406320541761,0.039844406081503275,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.27085636733566953,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,0.11413043478260869,0.09592973855492364,0.6383228419488861,0,0.0,0.0,0.0,0.15958071048722153
Moray le Fay (yellow),mythic,2,SEA051,"Pirate, Necromancer, Action, Ally",https://prod-content.fabrary.io/cards/SEA051.webp,HNFBzNgGjf6JnH9h6PKFJ,Yellow,2,0,0,,3,,,"Pirate, Necromancer, Action, Ally",,Watery Grave,"Action, Instant",Attack,,,,"""**Action** - {t}: **Attack**",,,,,,,,5,0.011286681715575621,0.009460120650223629,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.06448961127039751,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,0.02717391304347826,0.02277626873939711,0.15198162903544907,0,0.0,0.0,0.0,0.03799540725886227
Wailer Humperdinck (yellow),mythic,2,SEA052,"Pirate, Necromancer, Action, Ally",https://prod-content.fabrary.io/cards/SEA052.webp,jqwmB7FLCpBPgTJz9ztGJ,Yellow,2,6,11,,7,,,"Pirate, Necromancer, Action, Ally",,Watery Grave,"Action, Instant",Attack,,,,"""**Action** - {r}{r}{r} {r}{r}{r}, {t}: **Attack**",,,,,,,,10,0.022573363431151242,0.019171999363777142,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.12897922254079502,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0.05434782608695652,0.04615867238126779,0.30396325807089813,0,0.0,0.0,0.0,0.07599081451772453
