Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,draft_average_occurrence4,draft_average_occurrence5,draft_average_occurrence6,pick_rate,"Aurora, Emissary of Lightning_total_count","Aurora, Emissary of Lightning_average_count_per_deck","Aurora, Emissary of Lightning_average_count_per_normalized_deck","Aurora, Emissary of Lightning_pick_rate","Oscilio, Scion of the Third Age_total_count","Oscilio, Scion of the Third Age_average_count_per_deck","Oscilio, Scion of the Third Age_average_count_per_normalized_deck","Oscilio, Scion of the Third Age_pick_rate",Zyggy_total_count,Zyggy_average_count_per_deck,Zyggy_average_count_per_normalized_deck,Zyggy_pick_rate,weighted_pick_rate
Corrosive Space Dust (blue),rare,3,OMN014,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN014.webp,dKKCNFfnqk9zMLRzdHHgR,Blue,3,1,,,,,1,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"""When this leaves the arena, deal 1 arcane damage to target hero.",,,,,,,,30,0.08746355685131195,0.07407492218951972,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.11418805094572049,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,0.32608695652173914,0.27617063381527457,0.42673548388995686,0.1422451612966523
Cosmic Duality (red),common,1,OMN015,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN015.webp,tWqk8FWtf7TD9RgWBpKPP,Red,1,2,7,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,Instant,,,,,"""**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",,,,,,,,54,0.15743440233236153,0.1333558841830705,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.9389020070838257,1.8147142857142844,0.07253442362611612,0,0.0,0.0,0.0,0,0.0,0.0,0.0,54,0.5869565217391305,0.4971855247260129,0.27024304641187735,0.09008101547062579
Cosmic Duality (yellow),common,2,OMN016,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN016.webp,rQTCqBFcppTWfDwfFkHQN,Yellow,2,2,6,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,Instant,,,,,"""**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",,,,,,,,100,0.2915451895043732,0.24657401773264478,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.1037426075763418,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100,1.0869565217391304,0.9192922617640996,0.38711656328711436,0.12903885442903812
Cosmic Duality (blue),common,3,OMN017,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN017.webp,WhggpfhhBLDnpKwCkjWDk,Blue,3,2,5,3,,,1,"Lightning, Illusionist, Action, Attack",,Fragment,Instant,,,,,"""**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",,,,,,,,103,0.30029154518950435,0.2566304475197003,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.10685488580363205,0,0.0,0.0,0.0,0,0.0,0.0,0.0,103,1.1195652173913044,0.9567852554267088,0.39873006018572776,0.13291002006190925
Ebbing Arcstride (red),common,1,OMN018,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN018.webp,zC8NQNnj7RpgrR7LzKRmz,Red,1,0,5,3,,,,"Lightning, Illusionist, Action, Attack",,"Go again, Fragment",,,,,,"""Whenever this fragments, it gets **go again**.",,,,,,,,101,0.2944606413994169,0.24706144153189885,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.10478003365210521,0,0.0,0.0,0.0,0,0.0,0.0,0.0,101,1.0978260869565217,0.9211095048417534,0.3909877289199855,0.1303292429733285
Ebbing Arcstride (yellow),common,2,OMN019,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN019.webp,HMqtjHBBrQMRpRGjkcPpD,Yellow,2,0,4,3,,,,"Lightning, Illusionist, Action, Attack",,"Go again, Fragment",,,,,,"""Whenever this fragments, it gets **go again**.",,,,,,,,67,0.19533527696793002,0.16562686623882944,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.588902007083825,1.4897142857142853,0.09980276241142307,0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,0.7282608695652174,0.6175001643469402,0.37156140534707777,0.12385380178235926
Ebbing Arcstride (blue),common,3,OMN020,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN020.webp,6HPNkbgGwRmTbRWQ7bmPf,Blue,3,0,3,3,,,,"Lightning, Illusionist, Action, Attack",,"Go again, Fragment",,,,,,"""Whenever this fragments, it gets **go again**.",,,,,,,,97,0.282798833819242,0.2400173235021241,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.10063032934905154,0,0.0,0.0,0.0,0,0.0,0.0,0.0,97,1.0543478260869565,0.8948471952307453,0.37550306638850095,0.125167688796167
Pulsing Cardia (red),common,1,OMN021,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN021.webp,nm7BLnWdtjqGqfJ868NbW,Red,1,0,5,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, gain {r}.",,,,,,,,84,0.24489795918367346,0.20733718387657482,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.0871437903641271,0,0.0,0.0,0.0,0,0.0,0.0,0.0,84,0.9130434782608695,0.7730071094528822,0.32517791316117606,0.10839263772039202
Pulsing Cardia (yellow),common,2,OMN022,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN022.webp,FJNBWQGCMNzBKLc6qPC9q,Yellow,2,0,4,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, gain {r}.",,,,,,,,47,0.13702623906705538,0.11456871955223003,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.588902007083825,1.4897142857142853,0.07001089303487887,0,0.0,0.0,0.0,0,0.0,0.0,0.0,47,0.5108695652173914,0.42714207398277065,0.2606475530046665,0.08688251766822218
Pulsing Cardia (blue),common,3,OMN023,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN023.webp,nmc9fgdkRkcdJN6QwMTnT,Blue,3,0,3,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, gain {r}.",,,,,,,,75,0.21865889212827988,0.1847321514027937,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.07780695568225635,0,0.0,0.0,0.0,0,0.0,0.0,0.0,75,0.8152173913043478,0.688729651425633,0.2903374224653358,0.09677914082177859
Shattering Flowtide (red),common,1,OMN024,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN024.webp,88NcRgnJqWDBCpWHcJJtJ,Red,1,0,5,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, create a Lightning Flow token.",,,,,,,,106,0.30903790087463556,0.2619681769192835,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.1099671640309223,0,0.0,0.0,0.0,0,0.0,0.0,0.0,106,1.1521739130434783,0.9766857030795025,0.4103435570843412,0.1367811856947804
Shattering Flowtide (yellow),common,2,OMN025,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN025.webp,fHzPHtqP68CcwPG6JGGMJ,Yellow,2,0,4,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, create a Lightning Flow token.",,,,,,,,51,0.14868804664723032,0.1251572966269881,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.588902007083825,1.4897142857142853,0.07596926691018771,0,0.0,0.0,0.0,0,0.0,0.0,0.0,51,0.5543478260869565,0.4666190515549665,0.2828303234731488,0.0942767744910496
Shattering Flowtide (blue),common,3,OMN026,"Lightning, Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN026.webp,Rhwctgbpc8DkRWbfPbpKg,Blue,3,0,3,3,,,,"Lightning, Illusionist, Action, Attack",,Fragment,,,,,,"""Whenever this fragments, create a Lightning Flow token.",,,,,,,,117,0.34110787172011664,0.29131304350874954,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.1213788508643199,0,0.0,0.0,0.0,0,0.0,0.0,0.0,117,1.2717391304347827,1.0860910209076204,0.4529263790459238,0.1509754596819746
Auric Shards (red),common,1,OMN027,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN027.webp,nwtQNgqNfgLQwFCnJDpwB,Red,1,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,Fragment,"""When this enters the arena, up to 1 target attack with fragment gets +1{p}. If this has a holo counter, instead the attack gets +4{p}.",,,,,,,,104,0.3032069970845481,0.254655695546477,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.10789231187939546,0,0.0,0.0,0.0,0,0.0,0.0,0.0,104,1.1304347826086956,0.9494228649178436,0.4026012258185989,0.13420040860619964
Auric Shards (yellow),common,2,OMN028,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN028.webp,JgjRzjfBTL8fhNjMn7bkJ,Yellow,2,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,Fragment,"""When this enters the arena, up to 1 target attack with fragment gets +1{p}. If this has a holo counter, instead the attack gets +3{p}.",,,,,,,,68,0.19825072886297376,0.1690612632231276,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.07054497315191242,0,0.0,0.0,0.0,0,0.0,0.0,0.0,68,0.7391304347826086,0.6303044922340517,0.26323926303523776,0.08774642101174591
Auric Shards (blue),common,3,OMN029,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN029.webp,KbN76qW8BpGFCBchTLHGh,Blue,3,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,Fragment,"""When this enters the arena, up to 1 target attack with fragment gets +1{p}. If this has a holo counter, instead the attack gets +2{p}.",,,,,,,,33,0.09620991253644315,0.08130687940506606,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.588902007083825,1.4897142857142853,0.04915658447129793,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,0.358695652173913,0.30313325691236587,0.18300785636497863,0.06100261878832621
Holo Shield (red),common,1,OMN030,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN030.webp,f9C7rd9WgL9b8bgFMrP9h,Red,1,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 4 if this has a holo counter. Otherwise, X is 1.",Lightning Illusionist Instant - Aura,,,,,,,66,0.1924198250728863,0.16208088233152812,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.06847012100038559,0,0.0,0.0,0.0,0,0.0,0.0,0.0,66,0.717391304347826,0.6042798113012406,0.2554969317694955,0.08516564392316517
Holo Shield (yellow),common,2,OMN031,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN031.webp,gQbKw7QPrQtQ7TTKDfLbb,Yellow,2,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 3 if this has a holo counter. Otherwise, X is 1.",Lightning Illusionist Instant - Aura,,,,,,,23,0.06705539358600583,0.05623343013933498,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,1.2389020070838253,1.1647142857142843,0.0384503439156815,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,0.25,0.20965289714991195,0.14301692426349435,0.047672308087831454
Holo Shield (blue),common,3,OMN032,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN032.webp,H7PmnpTDN7WpBw7gtwCdq,Blue,3,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 2 if this has a holo counter. Otherwise, X is 1.",Lightning Illusionist Instant - Aura,,,,,,,51,0.14868804664723032,0.12473124670651631,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.5222353404171587,2.988902007083825,2.789714285714285,0.052908729863934315,0,0.0,0.0,0.0,0,0.0,0.0,0.0,51,0.5543478260869565,0.46503062630799014,0.19742944727642833,0.06580981575880944
Circular Flowtide (yellow),common,2,OMN033,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN033.webp,FgRQdMbgkGgJ6RwGjwgHr,Yellow,2,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 2,,,,,,"""When this leaves the arena, create a Lightning Flow token.",,,,,,,,89,0.2594752186588921,0.22007883651857268,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,1.4000000000000001,1.3000000000000003,0.1419363947413126,0,0.0,0.0,0.0,0,0.0,0.0,0.0,89,0.967391304347826,0.8205113144116352,0.5285245652859681,0.1761748550953227
Elliptical Conflux (yellow),common,2,OMN034,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN034.webp,Tr6LzWfrtqMkKjM7JpHjC,Yellow,2,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 2,,,,,,"""When this leaves the arena, create an Embodiment of Lightning token.",,,,,,,,72,0.2099125364431487,0.1768504534116418,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,2.8000000000000003,2.6000000000000005,0.07829138358858517,0,0.0,0.0,0.0,0,0.0,0.0,0.0,72,0.782608695652174,0.6593446252194906,0.29221572831436177,0.09740524277145392
Nebulus Cycle (yellow),common,2,OMN035,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN035.webp,knQ7hzFBj6fFLH9LTd8MD,Yellow,2,1,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 2,,,,,,"""When this leaves the arena, create a Ponder token.",,,,,,,,67,0.19533527696793002,0.16552100436798503,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,2.8000000000000003,2.6000000000000005,0.07285448195048898,0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,0.7282608695652174,0.617105483676292,0.2719229694036422,0.09064098980121406
Crackle from Afar (blue),common,3,OMN036,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN036.webp,KCCLqQp6m8CngWnnQqNrp,Blue,3,0,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,,"""When this enters the arena, up to 1 target attack gets +1{p}.",,,,,,,,85,0.2478134110787172,0.21053073737674136,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,2.8000000000000003,2.6000000000000005,0.09242732784763527,0,0.0,0.0,0.0,0,0.0,0.0,0.0,85,0.9239130434782609,0.7849135100024162,0.3449769014822326,0.11499230049407753
Fleeing Starbreeze (blue),common,3,OMN037,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN037.webp,qPDJLjQBMWtW8fJ8Kdznp,Blue,3,0,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,,"""When this enters the arena, up to 1 target attack gets **go again**.",,,,,,,,78,0.22740524781341107,0.1910362234926271,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,2.8000000000000003,2.6000000000000005,0.0848156655543006,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78,0.8478260869565217,0.7122328767170771,0.3165670390072252,0.10552234633574174
Nourishing Glow (blue),common,3,OMN038,"Lightning, Illusionist, Instant, Aura",https://prod-content.fabrary.io/cards/OMN038.webp,MqKhDHHHkLfFrdh7mBzcR,Blue,3,0,,,,,,"Lightning, Illusionist, Instant, Aura",,Ward 1,,,,,,"""When this enters the arena, gain 1{h}.",,,,,,,,76,0.22157434402332363,0.18852079669409275,2.8108826952611166,2.3138034985542317,2.5073220240684355,2.3333333333333335,1.4000000000000001,1.3000000000000003,0.12120411236336805,0,0.0,0.0,0.0,0,0.0,0.0,0.0,76,0.8260869565217391,0.7028547094138458,0.451324347884647,0.15044144929488232
Fingers of Fragmentation,common,0,OMN039,"Illusionist, Equipment, Arms",https://prod-content.fabrary.io/cards/OMN039.webp,PgCtkKz6JjJQ9mgKK679T,,,,,0,,,,"Illusionist, Equipment, Arms",,,Instant,,,,Fragment,"**Instant** - {r}{r}, destroy this: Target attack action card that has fragmented gets +2{p}.",Illusionist Equipment - Arms,,,,,,,52,0.15160349854227406,0.0,1.7142857142857149,1.8742430589937933,0.6666666666666669,0.6666666666666665,1.945945945945946,1.9459459459459423,0.0841502508114985,0,0.0,0.0,0.0,0,0.0,0.0,0.0,52,0.5652173913043478,0.0,0.31388711774914013,0.10462903924971338
Fractal Creation (blue),mythic,3,OMN040,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN040.webp,K6PPGtffFCcGHLNkQbdpm,Blue,3,3,6,3,,,,"Illusionist, Action, Attack",,Fragment,,,,,,"""When this hits, you may create a token copy of an aura you control.",,,,,,,,15,0.043731778425655975,0.03726014795875071,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.32,0.32,0.4666666666666669,0.10259137218493544,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,0.16304347826086957,0.13891555162882058,0.3728465232278921,0.12428217440929736
Clear Conscience (red),rare,1,OMN041,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN041.webp,JMb6zBb6gJ78bJnfCG8wp,Red,1,3,8,3,,,,"Illusionist, Action, Attack",,Fragment,,,,,,"""When this hits a hero, each hero puts a card from their hand on the bottom of their deck and creates a Ponder token.",,,,,,,,30,0.08746355685131195,0.07399037531203179,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.11418805094572049,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,0.32608695652173914,0.2758554210002924,0.42673548388995686,0.1422451612966523
Clear Conscience (yellow),rare,2,OMN042,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN042.webp,R9dRbDCJbNGLHFctHd9pW,Yellow,2,3,7,3,,,,"Illusionist, Action, Attack",,Fragment,,,,,,"""When this hits a hero, each hero puts a card from their hand on the bottom of their deck and creates a Ponder token.",,,,,,,,22,0.0641399416909621,0.05397969164622443,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.0837379040268617,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22,0.2391304347826087,0.201250372115815,0.312939354852635,0.10431311828421168
Clear Conscience (blue),rare,3,OMN043,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN043.webp,mftrgDLcgF69QrzBgK6HB,Blue,3,3,6,3,,,,"Illusionist, Action, Attack",,Fragment,,,,,,"""When this hits a hero, each hero puts a card from their hand on the bottom of their deck and creates a Ponder token.",,,,,,,,31,0.09037900874635568,0.0763624442714257,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.11799431931057784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31,0.33695652173913043,0.28469911288151106,0.4409600000196221,0.14698666667320737
