Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Florian_total_count,Florian_average_count_per_deck,Florian_average_count_per_normalized_deck,Florian_pick_rate,Verdance_total_count,Verdance_average_count_per_deck,Verdance_average_count_per_normalized_deck,Verdance_pick_rate,Oscilio_total_count,Oscilio_average_count_per_deck,Oscilio_average_count_per_normalized_deck,Oscilio_pick_rate,Aurora_total_count,Aurora_average_count_per_deck,Aurora_average_count_per_normalized_deck,Aurora_pick_rate,weighted_pick_rate
Well Grounded,common,0,ROS030,"Earth, Equipment, Legs",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS030.png,zngmGjhrGpJfmnbMP87JP,,,,,0,,,,"Earth, Equipment, Legs",,,Instant,,,,,**Instant** - Destroy this: Prevent the next 2 damage that would be dealt to you this turn. Activate this only if there are 4 or more Earth cards in your banished zone.,Earth Equipment - Legs,,,,,,,108,0.3576158940397351,0.0,1.9999999999999998,3.0000000000000004,2.90909090909091,0.13410091432441582,68,0.6601941747572816,0.0,0.24396607958251793,40,0.47058823529411764,0.0,0.17915309446254069,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10577979351126465
Felling of the Crown (red),mythic,1,ROS031,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS031.png,PkQPFgMNLn69hmMnq7jCC,Red,1,3,4,3,,,,"Earth, Action, Attack",,Decompose,,,,,,"""If there are 4 or more Earth cards in your banished zone, this gets +4{p}.",,,,,,,,7,0.023178807947019868,0.020491196584398765,0.1856336,0.1856336,0.18552319999999997,0.12489469592923222,5,0.04854368932038835,0.0421529170815293,0.2615736943078216,2,0.023529411764705882,0.021724598930481284,0.12678827251080135,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09709049170465575
Channel the Millennium Tree (red),mythic,1,ROS033,"Earth, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS033.png,wkHBqcWJQwCLr9fLKLpdw,Red,1,3,,3,,,,"Earth, Action, Aura",,"Go again, Channel Earth, Amp 3",,,,,,"""**Go again**",,,,,,,,10,0.033112582781456956,0.027037867246589287,0.1856336,0.1856336,0.18552319999999997,0.17842099418461746,0,0.0,0.0,0.0,10,0.11764705882352941,0.09606395186435253,0.6339413625540068,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1584853406385017
Seeds of Tomorrow (blue),mythic,3,ROS035,"Earth, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS035.png,Mcffqz8hhNjNgTGMHJwhR,Blue,3,0,,,,,,"Earth, Instant",,,,,,,,"""As an additional cost to play this, put a card from your arsenal on the bottom of your deck.",,,,,,,,8,0.026490066225165563,0.022307647284581247,0.1856336,0.1856336,0.18552319999999997,0.14273679534769398,4,0.038834951456310676,0.034540559383506274,0.2092589554462573,4,0.047058823529411764,0.03740272780520459,0.2535765450216027,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11570887511696501
Earth Form (red),rare,1,ROS036,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS036.png,hCkjMgHBTtbPccM6FfKmL,Red,1,3,7,2,,,,"Earth, Action, Attack",,,,,,,,"When this hits, create an Embodiment of Earth token.",Earth Action - Attack,,,,,No,,31,0.10264900662251655,0.08921829228797912,0.8496496842105264,0.8496496842105264,0.805600452370596,0.12352767810935626,20,0.1941747572815534,0.16868143068772784,0.23407252459720815,11,0.12941176470588237,0.11258514011922027,0.15621847969869926,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09757275107397685
Earth Form (yellow),rare,2,ROS037,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS037.png,rbDcWtf9Dm6L9wrBj7Cnz,Yellow,2,3,6,2,,,,"Earth, Action, Attack",,,,,,,,"When this hits, create an Embodiment of Earth token.",Earth Action - Attack,,,,,No,,31,0.10264900662251655,0.08971653269802432,0.8496496842105264,0.8496496842105264,0.805600452370596,0.12352767810935626,20,0.1941747572815534,0.17030847191032156,0.23407252459720815,11,0.12941176470588237,0.11238376785929673,0.15621847969869926,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09757275107397685
Earth Form (blue),rare,3,ROS038,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS038.png,wrkDkLdGhJjTfPGzr68wM,Blue,3,3,5,2,,,,"Earth, Action, Attack",,,,,,,,"When this hits, create an Embodiment of Earth token.",Earth Action - Attack,,,,,No,,31,0.10264900662251655,0.08985345646449235,0.8496496842105264,0.8496496842105264,0.805600452370596,0.12352767810935626,15,0.14563106796116504,0.12611614811164382,0.1755543934479061,16,0.18823529411764706,0.16642094819738096,0.22722687956174437,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10069531825241262
Summer's Fall (red),rare,1,ROS039,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS039.png,GhBpCcmh8kBf9gKNDPz68,Red,1,2,6,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, put up to 1 target aura on the bottom of its owner's deck.",Earth Action - Attack,,,,,No,,40,0.13245033112582782,0.11324132978916365,0.8496496842105264,0.8496496842105264,0.805600452370596,0.15939055239916936,23,0.22330097087378642,0.19089352783444882,0.26918340328678936,17,0.2,0.1710217438750493,0.2414285595343534,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12765299070528568
Summer's Fall (yellow),rare,2,ROS040,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS040.png,kKMdmTCkGRNTMHHRDznLQ,Yellow,2,2,5,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, put up to 1 target aura on the bottom of its owner's deck.",Earth Action - Attack,,,,,No,,34,0.11258278145695365,0.09631121564823399,0.8496496842105264,0.8496496842105264,0.805600452370596,0.13548196953929395,19,0.18446601941747573,0.15518277078079434,0.22236889836734774,15,0.17647058823529413,0.15414307923935117,0.21302519958913535,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10884852448912077
Summer's Fall (blue),rare,3,ROS041,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS041.png,6CbcjKgjJbTDrfbtDhMkW,Blue,3,2,4,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, put up to 1 target aura on the bottom of its owner's deck.",Earth Action - Attack,,,,,No,,32,0.10596026490066225,0.09135710448891561,0.8496496842105264,0.8496496842105264,0.805600452370596,0.1275124419193355,22,0.21359223300970873,0.18316604167922212,0.2574797770569289,10,0.11764705882352941,0.10263227367873681,0.14201679972609024,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0998741441957548
Rootbound Carapace (red),rare,1,ROS042,"Earth, Defense Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS042.png,DPFPrrNbJmtDHjBLtk6zz,Red,1,0,,3,,,,"Earth, Defense Reaction",,Decompose,,,,,,"**Decompose** - You may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +1{d}.",Earth Defense Reaction,,,,,No,,36,0.11920529801324503,0.10243312546219017,0.8496496842105264,0.8496496842105264,0.805600452370596,0.14345149715925243,25,0.24271844660194175,0.20621117179286944,0.29259065574651016,11,0.12941176470588237,0.11405944935195145,0.15621847969869926,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11220228386130235
Rootbound Carapace (yellow),rare,2,ROS043,"Earth, Defense Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS043.png,rHt7wrBkFcGCKBNq8BckW,Yellow,2,0,,2,,,,"Earth, Defense Reaction",,Decompose,,,,,,"**Decompose** - You may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +1{d}.",Earth Defense Reaction,,,,,No,,15,0.04966887417218543,0.042410061478629135,0.8496496842105264,0.8496496842105264,0.805600452370596,0.05977145714968851,6,0.05825242718446602,0.04934884607214705,0.07022175737916245,9,0.10588235294117647,0.09088126377782178,0.1278151197534812,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04950921928316091
Rootbound Carapace (blue),rare,3,ROS044,"Earth, Defense Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS044.png,kj7bRzhn8wTj7CMJTtdDn,Blue,3,0,,1,,,,"Earth, Defense Reaction",,Decompose,,,,,,"**Decompose** - You may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +1{d}.",Earth Defense Reaction,,,,,No,,35,0.11589403973509933,0.09863371219487821,0.8496496842105264,0.8496496842105264,0.805600452370596,0.1394667333492732,18,0.17475728155339806,0.14849678313413323,0.2106652721374873,17,0.2,0.17049661670632354,0.2414285595343534,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11302345791796017
Sigil of Sanctuary (blue),rare,3,ROS045,"Earth, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS045.png,pW9RcR7zcbrJDfgGFdrgR,Blue,3,0,,,,,,"Earth, Instant, Aura",,Arcane Shelter 1,,,,,,"""**Arcane Shelter 1**",,,,,,,,37,0.12251655629139073,0.10437830827313739,0.8496496842105264,0.8496496842105264,1.164547625924315,0.12462060554592772,20,0.1941747572815534,0.16683516915527197,0.1954764391901615,17,0.2,0.16868501971169972,0.19969214808122587,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09879214681784684
Autumn's Touch (red),common,1,ROS046,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS046.png,nwNfL8wPDtKW9jCFktCBL,Red,1,3,7,3,,,,"Earth, Action, Attack",,,,,,,,,Earth Action - Attack,,,,,,,85,0.2814569536423841,0.24226109877454732,2.171747428571428,1.7210073962264145,1.8242112,0.14832389200991136,54,0.5242718446601942,0.45338508267240973,0.2785894972466311,31,0.36470588235294116,0.311343391937119,0.1900235135553673,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11715325270049962
Autumn's Touch (yellow),common,2,ROS047,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS047.png,pKdGGghdpnBCzrjwPmkPg,Yellow,2,3,6,3,,,,"Earth, Action, Attack",,,,,,,,,Earth Action - Attack,,,,,,,66,0.2185430463576159,0.18876904037844242,1.085873714285714,1.7210073962264145,1.8242112,0.13853106860451717,39,0.3786407766990291,0.3261647125301559,0.2355060164292609,27,0.3176470588235294,0.2754504094551004,0.2034155098362466,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10973038156637688
Autumn's Touch (blue),common,3,ROS048,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS048.png,QqghkNGDQHkGMRGRt8pDr,Blue,3,3,5,3,,,,"Earth, Action, Attack",,,,,,,,,Earth Action - Attack,,,,,,,84,0.2781456953642384,0.24109861015774053,2.171747428571428,1.7210073962264145,1.8242112,0.14657890504508886,56,0.5436893203883495,0.474340293454147,0.2889076267742841,28,0.32941176470588235,0.2818203534336532,0.17163414127581564,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11513544201252493
Blossoming Decay (red),common,1,ROS049,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS049.png,WbbB7d7qFbb8mW66GNCjn,Red,1,2,5,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, gain 1{h}.",Earth Action - Attack,,,,,,,86,0.2847682119205298,0.24392894392820177,2.3740054060995184,1.9232653737545042,2.026485896629213,0.13561369705991477,47,0.4563106796116505,0.3943217636094081,0.21894382170834822,39,0.4588235294117647,0.38883999311232836,0.2162697886406769,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10880340258725628
Blossoming Decay (yellow),common,2,ROS050,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS050.png,fzLHhjCCMWFGn9nnhNHwG,Yellow,2,2,4,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, gain 1{h}.",Earth Action - Attack,,,,,,,69,0.22847682119205298,0.19529626552066695,1.2881316918138042,1.9232653737545042,2.026485896629213,0.12836935317725612,46,0.44660194174757284,0.38654186059912976,0.24673581610876422,23,0.27058823529411763,0.22547835935918878,0.15340916336756916,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10003624486908334
Blossoming Decay (blue),common,3,ROS051,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS051.png,hrH8MTCmLwnnJHhdNggMP,Blue,3,2,3,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, gain 1{h}.",Earth Action - Attack,,,,,,,57,0.18874172185430463,0.16080256041368043,2.3740054060995184,1.9232653737545042,2.026485896629213,0.08988349688854816,29,0.2815533980582524,0.2438630228451277,0.13509299637323613,28,0.32941176470588235,0.2758174340221571,0.1552706174856142,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07259090346471259
Cadaverous Tilling (red),common,1,ROS052,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS052.png,WMFB7HjQfN9L7hp7dLqhN,Red,1,3,6,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +2{p}.",Earth Action - Attack,,,,,,,111,0.3675496688741722,0.3146545743635913,2.3740054060995184,1.9232653737545042,2.026485896629213,0.17503628341454117,76,0.7378640776699029,0.6374240007161627,0.3540368180815843,35,0.4117647058823529,0.3455412868710572,0.1940882718570177,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13703127248465052
Cadaverous Tilling (yellow),common,2,ROS053,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS053.png,pWrWWhfjfTWPKMbdTWQHT,Yellow,2,3,5,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +2{p}.",Earth Action - Attack,,,,,,,74,0.24503311258278146,0.20881713734815932,1.2881316918138042,1.9232653737545042,2.026485896629213,0.13767148021908626,50,0.4854368932038835,0.41592782115654575,0.26819110446604805,24,0.2823529411764706,0.23790835176494007,0.16007912699224608,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10706755786457353
Cadaverous Tilling (blue),common,3,ROS054,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS054.png,zqbcPKK9npDdLNNLNhdnN,Blue,3,3,4,2,,,,"Earth, Action, Attack",,Decompose,,,,,,"**Decompose** - When this attacks, you may banish 2 Earth cards and an action card from your graveyard. If you do, this gets +2{p}.",Earth Action - Attack,,,,,,,86,0.2847682119205298,0.24629231298477244,2.3740054060995184,1.9232653737545042,2.026485896629213,0.13561369705991477,53,0.5145631067961165,0.44805972381519815,0.24689409682005223,33,0.38823529411764707,0.3321191408051285,0.18299751346518814,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10747290257131009
Fruits of the Forest (red),common,1,ROS055,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS055.png,jhPjMTDtrz9MqcwFkQrkL,Red,1,3,7,2,,,,"Earth, Action, Attack",,,Instant,,,,,**Instant** - Discard this: Gain 2{h},Earth Action - Attack,,,,,,,91,0.30132450331125826,0.25524946036727103,2.3740054060995184,1.9232653737545042,2.026485896629213,0.14349821433084003,51,0.49514563106796117,0.41903080274762633,0.23757733844948423,40,0.47058823529411764,0.3991195805636513,0.2218151678365917,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11484812657151898
Fruits of the Forest (yellow),common,2,ROS056,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS056.png,DHRFRqdNnjCBwF6cfkMhR,Yellow,2,3,6,2,,,,"Earth, Action, Attack",,,Instant,,,,,**Instant** - Discard this: Gain 2{h},Earth Action - Attack,,,,,,,94,0.31125827814569534,0.26551829311197417,1.2881316918138042,1.9232653737545042,2.026485896629213,0.17487998838640686,57,0.5533980582524272,0.47658628862632857,0.3057378590912948,37,0.43529411764705883,0.3658604328388756,0.24678865411304604,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13813162830108522
Fruits of the Forest (blue),common,3,ROS057,"Earth, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS057.png,hbBHDjCJqMw9cJzRjNchC,Blue,3,3,5,2,,,,"Earth, Action, Attack",,,Instant,,,,,**Instant** - Discard this: Gain 2{h},Earth Action - Attack,,,,,,,119,0.39403973509933776,0.33677393850296977,2.3740054060995184,1.9232653737545042,2.026485896629213,0.1876515110480216,64,0.6213592233009708,0.5359423384134464,0.29813626785817626,55,0.6470588235294118,0.5471019831919046,0.3049958557753136,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15078303090837247
Harvest Season (red),common,1,ROS061,"Earth, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS061.png,h9NHN8tRGcW6BtF98DJqM,Red,1,1,,2,,,,"Earth, Action, Aura",,Go again,,,,,,"""**Go again**",,,,,,,,91,0.30132450331125826,0.2560363344697928,2.3740054060995184,1.9232653737545042,2.026485896629213,0.14349821433084003,65,0.6310679611650486,0.5423897473690268,0.3027946470434603,26,0.3058823529411765,0.2524332827160905,0.14417985909378458,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11174362653431122
Harvest Season (yellow),common,2,ROS062,"Earth, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS062.png,7Dzp8kPW6kJPj7tQKL79w,Yellow,2,1,,2,,,,"Earth, Action, Aura",,Go again,,,,,,"""**Go again**",,,,,,,,62,0.2052980132450331,0.17687345048017902,1.2881316918138042,1.9232653737545042,2.026485896629213,0.11534637531869389,44,0.42718446601941745,0.3704109930474396,0.2360081719301223,18,0.21176470588235294,0.1795699971897386,0.12005934524418456,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08901687929357671
Harvest Season (blue),common,3,ROS063,"Earth, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS063.png,Lq8ktfMh6MPDknk8jGRzr,Blue,3,1,,2,,,,"Earth, Action, Aura",,Go again,,,,,,"""**Go again**",,,,,,,,70,0.23178807947019867,0.19815946114593747,2.3740054060995184,1.9232653737545042,2.026485896629213,0.11038324179295388,33,0.32038834951456313,0.276622611238339,0.15372651311437216,37,0.43529411764705883,0.36884739186499055,0.20517903024884732,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08972638584080486
Strong Yield (red),common,1,ROS064,"Earth, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-ROS/EN/ROS064.png,DrQ9nkJKpqLJCr9TgDMNn,Red,1,1,,2,,,,"Earth, Action, Aura",,Go again,,,,,,"""**Go again**",,,,,,,,72,0.23841059602649006,0.20592002241888024,2.3740054060995184,1.9232653737545042,2.026485896629213,0.11353704870132399,58,0.5631067961165048,0.48721803127774405,0.27018599274647226,14,0.16470588235294117,0.14122811233993168,0.0776353087428071,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08695532537231984
