Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,pick_rate,Enigma_total_count,Enigma_average_count_per_deck,Enigma_average_count_per_normalized_deck,Enigma_pick_rate,Nuu_total_count,Nuu_average_count_per_deck,Nuu_average_count_per_normalized_deck,Nuu_pick_rate,Zen_total_count,Zen_average_count_per_deck,Zen_average_count_per_normalized_deck,Zen_pick_rate,weighted_pick_rate
Hiss (yellow),common,2,MST015,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST015.png,KWTp66RpbjrmqQPg87jbm,Yellow,2,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +2{p}.",,,,,,,,76,0.15866388308977036,0.13744410812185387,1.4796686400000003,1.5093200093023253,0.1059921829048216,0,0.0,0.0,0.0,76,0.5135135135135135,0.44483599858356754,0.34323541770330934,0,0.0,0.0,0.0,0.11441180590110311
Hiss (blue),common,3,MST016,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST016.png,8tzjQqHmRDzCTppjNRd9w,Blue,3,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +1{p}.",,,,,,,,125,0.2609603340292276,0.22566943564319475,2.779459440000001,2.8090748093023254,0.09330978126208804,0,0.0,0.0,0.0,125,0.8445945945945946,0.7303760788722317,0.3020867251459416,0,0.0,0.0,0.0,0.10069557504864719
Intimate Inducement (red),common,1,MST017,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST017.png,fn6R8HkftTRfr6dD8Gfgh,Red,1,0,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +1{p}.",,,,,,,,116,0.24217118997912318,0.2114097284878661,2.779459440000001,2.8090748093023254,0.08659147701121771,0,0.0,0.0,0.0,116,0.7837837837837838,0.6842247293627558,0.2803364809354338,0,0.0,0.0,0.0,0.0934454936451446
Intimate Inducement (yellow),common,2,MST018,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST018.png,jrBknpNwPbrNbzmfKMnKw,Yellow,2,0,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +1{p}.",,,,,,,,62,0.12943632567849686,0.11312880325180255,1.4796686400000003,1.5093200093023253,0.08646730710656499,0,0.0,0.0,0.0,62,0.4189189189189189,0.36613984295684743,0.2800078407579629,0,0.0,0.0,0.0,0.09333594691932097
Intimate Inducement (blue),common,3,MST019,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST019.png,b8WGTGmWNGDdGwCWP7r66,Blue,3,0,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +1{p}.",,,,,,,,159,0.33194154488517746,0.28996157513132925,2.779459440000001,2.8090748093023254,0.118690041765376,0,0.0,0.0,0.0,159,1.0743243243243243,0.9384567195128831,0.3842543143856377,0,0.0,0.0,0.0,0.12808477146187922
Venomous Bite (red),common,1,MST020,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST020.png,j98tFFFhRFtLffgcWMp9W,Red,1,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +3{p}.",,,,,,,,182,0.37995824634655534,0.3295021082310705,2.779459440000001,2.8090748093023254,0.1358590415176002,0,0.0,0.0,0.0,182,1.2297297297297298,1.0664291205586673,0.4398382718124909,0,0.0,0.0,0.0,0.1466127572708303
Venomous Bite (yellow),common,2,MST021,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST021.png,9wKjt69bgRQjH79KWdJGn,Yellow,2,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +2{p}.",,,,,,,,84,0.17536534446764093,0.15307189191489287,1.4796686400000003,1.5093200093023253,0.11714925478953966,0,0.0,0.0,0.0,84,0.5675675675675675,0.49541510964347085,0.3793654616720788,0,0.0,0.0,0.0,0.12645515389069292
Venomous Bite (blue),common,3,MST022,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST022.png,ktngNfHpLWzFFqzbFCFct,Blue,3,1,,3,,,,"Mystic, Assassin, Attack Reaction",,,,,,,,"""Target Assassin or Mystic attack action card gets +1{p}.",,,,,,,,129,0.26931106471816285,0.23349686771128497,2.779459440000001,2.8090748093023254,0.09629569426247486,0,0.0,0.0,0.0,129,0.8716216216216216,0.7557094569844967,0.31175350035061167,0,0.0,0.0,0.0,0.10391783345020389
Heirloom of Rabbit Hide,rare,0,MST028,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST028.png,z7HGHDCwMDgBmhdhTnRhW,,,,,,,,,"Mystic, Illusionist, Equipment, Chest",,"Cloaked, Ward 4",,,,,,"""**Cloaked**",,,,,,,,28,0.05845511482254697,0.0,0.8047982222222227,0.8045213333333332,0.0726478136726384,28,0.18666666666666668,0.0,0.23199114939771928,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0773303831325731
Truths Retold,common,0,MST029,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST029.png,WnPNGc8HLQHhbFKFrLkPM,,,,,,,,,"Mystic, Illusionist, Equipment, Head",,"Cloaked, Ward 1",Instant,,,,,"""**Cloaked**",,,,,,,,85,0.17745302713987474,0.0,1.8941635542857134,1.6,0.10300124908004826,85,0.5666666666666667,0.0,0.33066019057741447,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11022006352580482
Uphold Tradition,common,0,MST030,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST030.png,dH8jGBhdrCK7gbf9NhtGJ,,,,,,,,,"Mystic, Illusionist, Equipment, Arms",,"Cloaked, Ward 1",Instant,,,,Ward,"""**Cloaked**",,,,,,,,98,0.2045929018789144,0.0,1.8941635542857134,1.6,0.11875438129229093,98,0.6533333333333333,0.0,0.3812317491363132,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1270772497121044
Manifestation of Miragai (blue),mythic,3,MST031,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST031.png,f8QrwNNrtgKcB8MwLRQh8,Blue,3,3,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward X,,,,,,"""This enters the arena with two +1{p} counters. If a Chi was pitched to play this, instead this enters the arena with four +1{p} counters.",,,,,,,,14,0.029227557411273485,0.025171908115847692,0.2051822222222222,0.21044711111111114,0.14034920504027054,14,0.09333333333333334,0.0803822932499403,0.4478322870075522,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1492774290025174
Sacred Art: Immortal Lunar Shrine (blue),mythic,3,MST032,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST032.png,cdb8cTqP9MRgwqr7Q6rHQ,Blue,3,3,,,,,,"Mystic, Illusionist, Instant",,"Legendary, Transcend",,,,,Ward,"""**Legendary**",,,,,,,,11,0.022964509394572025,0.019930491470464454,0.2051822222222222,0.1687351111111111,0.12483892877889179,11,0.07333333333333333,0.06364470276234982,0.40110560587139527,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13370186862379843
Three Visits (red),mythic,1,MST033,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST033.png,dJbhLJjdgzzQg7rtmnP9k,Red,1,3,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is three times the number of blue cards you've pitched this turn.",Mystic Illusionist Instant - Aura,,,,No,No,,8,0.016701461377870562,0.01373227969206433,0.2051822222222222,0.21044711111111114,0.08019954573729746,8,0.05333333333333334,0.043851746483325425,0.25590416400431554,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08530138800143851
Moon Chakra (red),rare,1,MST034,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST034.png,pDpQ79NgQN6MQtz9zQrCW,Red,1,0,,,,,,"Mystic, Illusionist, Instant",,,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 3 of that damage. If you've **transcended** this turn, instead prevent 5.",Mystic Illusionist Instant,,,,,No,,41,0.08559498956158663,0.07234030298682212,0.9162024888888891,0.9151058666666666,0.09348883667353873,41,0.2733333333333333,0.23100670087125194,0.2985520572804456,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0995173524268152
Moon Chakra (yellow),rare,2,MST035,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST035.png,hpqCzzRJJHRhkWLcL8QDh,Yellow,2,0,,,,,,"Mystic, Illusionist, Instant",,,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 2 of that damage. If you've **transcended** this turn, instead prevent 4.",Mystic Illusionist Instant,,,,,No,,26,0.054279749478079335,0.04615786495726968,0.9162024888888891,0.9151058666666666,0.059285603744195295,26,0.17333333333333334,0.14739744876354785,0.18932569486077036,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06310856495359012
Moon Chakra (blue),rare,3,MST036,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST036.png,CNcQBLQccWPfJdd8Dm86g,Blue,3,0,,,,,,"Mystic, Illusionist, Instant",,,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 1 of that damage. If you've **transcended** this turn, instead prevent 3.",Mystic Illusionist Instant,,,,,No,,48,0.10020876826722339,0.08463966043773045,0.9162024888888891,0.9151058666666666,0.109450345373899,48,0.32,0.2702826489978193,0.3495243597429607,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11650811991432024
Haze Shelter (red),common,1,MST037,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST037.png,LngwQzcgtkJQfCQ7PkP9h,Red,1,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 4 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,,128,0.267223382045929,0.22725209616113645,2.779961040000001,2.809647209302325,0.09553067360645467,128,0.8533333333333334,0.7256916937412291,0.304961375949323,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10165379198310766
Haze Shelter (yellow),common,2,MST038,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST038.png,DpC7pdbKCcfcgDRCNHkch,Yellow,2,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 3 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,,38,0.07933194154488518,0.06899089937718529,1.4799194400000009,1.5096062093023253,0.05298648415051811,38,0.25333333333333335,0.2203109386778117,0.1691000017666939,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.056366667255564634
Haze Shelter (blue),common,3,MST039,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST039.png,CGJMGJrWtt9qWQ6zfJHWK,Blue,3,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward X,,,,,,"**Ward X**, where X is 2 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,,68,0.1419624217118998,0.12128017121165903,2.779961040000001,2.809647209302325,0.05075067035342905,68,0.4533333333333333,0.38728801340256447,0.16201073097307783,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.054003576991025946
Waning Vengeance (red),common,1,MST040,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST040.png,RRwGHgbnNGFT7PDPDwkDG,Red,1,1,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 3,,,,,,"""When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.",,,,,,,,170,0.35490605427974947,0.30164265636733095,2.779961040000001,2.809647209302325,0.12687667588357263,170,1.1333333333333333,0.9632455493330102,0.40502682743269464,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13500894247756487
Waning Vengeance (yellow),common,2,MST041,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST041.png,FJjmNKzKjz7PLCpF8Bg8Q,Yellow,2,1,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 2,,,,,,"""When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.",,,,,,,,53,0.11064718162839249,0.09454440972591856,1.4799194400000009,1.5096062093023253,0.07390220157835421,53,0.35333333333333333,0.30191181505809994,0.23585000246407306,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07861666748802436
Waning Vengeance (blue),common,3,MST042,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST042.png,Rhc9fGptBBhtNFDWbKGW8,Blue,3,1,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 1,,,,,,"""When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.",,,,,,,,89,0.18580375782881003,0.15583385676887035,2.779961040000001,2.809647209302325,0.06642367149198802,89,0.5933333333333334,0.497629449281926,0.21204345671476366,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07068115223825455
Waxing Specter (red),common,1,MST043,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST043.png,Lb7B6FTJbHFtCfcLm9dJh,Red,1,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 3,,,,,,"""If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.",,,,,,,,187,0.3903966597077244,0.32944523078768184,2.779961040000001,2.809647209302325,0.1395643434719299,187,1.2466666666666666,1.0520284369819972,0.4455295101759641,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14850983672532136
Waxing Specter (yellow),common,2,MST044,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST044.png,FkbNjBJDf96DKNfNWk8Nr,Yellow,2,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 2,,,,,,"""If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.",,,,,,,,69,0.1440501043841336,0.12177635789617668,1.4799194400000009,1.5096062093023253,0.09621230016804605,69,0.46,0.38887250288179087,0.3070500032079442,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10235000106931473
Waxing Specter (blue),common,3,MST045,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST045.png,hQGwctG9wQDRPbNzJWTnW,Blue,3,2,,,,,,"Mystic, Illusionist, Instant, Aura",,Ward 1,,,,,,"""If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.",,,,,,,,77,0.16075156576200417,0.13654758189335836,2.779961040000001,2.809647209302325,0.05746767084138289,77,0.5133333333333333,0.43604194484612435,0.18345332771951461,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06115110923983821
Heirloom of Tiger Hide,rare,0,MST049,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST049.png,6F7r7J6hRpwwH8hrtjdTp,,,,,3,,,,"Mystic, Ninja, Equipment, Chest",,"Cloaked, Blade Break",,,,,,"""**Cloaked**",,,,,,,,62,0.12943632567849686,0.0,0.8047982222222227,0.8045213333333332,0.1608630159894136,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62,0.3425414364640884,0.0,0.42570896281333326,0.14190298760444442
Stride of Reprisal,common,0,MST050,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST050.png,DhKMQzczm7mmf9HnhWhdL,,,,,1,,,,"Mystic, Ninja, Equipment, Legs",,Blade Break,,,,,,"""When this defends, create a Crouching Tiger in your hand.",,,,,,,,129,0.26931106471816285,0.0,1.8941635542857134,1.2000000000000002,0.1807652564651337,0,0.0,0.0,0.0,0,0.0,0.0,0.0,129,0.712707182320442,0.0,0.47785488917573415,0.15928496305857806
Tooth and Claw (red),mythic,1,MST051,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST051.png,cLkt677NMWGgPTNCBcJjn,Red,1,0,4,3,,,,"Mystic, Ninja, Action, Attack",,Go again,,,,,,"When this attacks, you may reveal any number of Crouching Tigers from your hand. If you reveal 1 or more, this gets **go again**. 2 or more, this gets +1{p}. 3 or more, draw a card.",Mystic Ninja Action - Attack,,,,No,No,,19,0.03966597077244259,0.03487358722626204,0.2051822222222222,0.21044711111111114,0.19047392112608144,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.10497237569060773,0.09228976951038406,0.5041018561678896,0.1680339520559632
Shifting Winds of the Mystic Beast (blue),mythic,3,MST052,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST052.png,WznLQmk7B6QQKMmT6TJJC,Blue,3,1,,3,,,,"Mystic, Ninja, Action",,Go again,,,,,,"""Whenever you play a Crouching Tiger this turn, name a card. It gets that name.",,,,,,,,12,0.025052192066805846,0.02162289535162264,0.2051822222222222,0.21044711111111114,0.12029931860594618,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,0.06629834254143646,0.05722302140015052,0.31838011968498287,0.10612670656166096
Sacred Art: Jade Tiger Domain (blue),mythic,3,MST053,"Mystic, Ninja, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST053.png,GJzhGm6bb6gW8nMBgQRbz,Blue,3,3,,,,,,"Mystic, Ninja, Instant",,"Legendary, Transcend",,,,,,"""**Legendary**",,,,,,,,12,0.025052192066805846,0.022484876984140156,0.2051822222222222,0.1687351111111111,0.1361879223042456,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,0.06629834254143646,0.059504177212172014,0.3602409771976801,0.12008032573256004
Wind Chakra (red),rare,1,MST054,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST054.png,KRLHmjMcJTWNdrHrHqbkt,Red,1,0,,3,,,,"Mystic, Ninja, Action",,Go again,,,,,Transcend,"""The next Crouching Tiger you play this turn gets +3{p}. If you've **transcended** this turn, instead it gets +5{p}.",,,,,,,,55,0.11482254697286012,0.0996375969771111,0.9162024888888891,0.9151058666666666,0.12541185407425928,0,0.0,0.0,0.0,0,0.0,0.0,0.0,55,0.30386740331491713,0.26368181741456476,0.3318901038751015,0.11063003462503383
Wind Chakra (yellow),rare,2,MST055,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST055.png,MpfqmCMGhHCTwgQKRdDGW,Yellow,2,0,,3,,,,"Mystic, Ninja, Action",,Go again,,,,,Transcend,"""The next Crouching Tiger you play this turn gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.",,,,,,,,36,0.07515657620041753,0.06581134037301667,0.9162024888888891,0.9151058666666666,0.08208775903042426,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,0.19889502762430938,0.17416371292085628,0.21723715890006642,0.07241238630002214
Wind Chakra (blue),rare,3,MST056,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST056.png,6mR8hhpB9hT6wf9QbWnrd,Blue,3,0,,3,,,,"Mystic, Ninja, Action",,Go again,,,,,Transcend,"""The next Crouching Tiger you play this turn gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.",,,,,,,,64,0.1336116910229645,0.11563047981732259,0.9162024888888891,0.9151058666666666,0.14593379383186533,0,0.0,0.0,0.0,0,0.0,0.0,0.0,64,0.35359116022099446,0.3060055239364504,0.38619939360011807,0.12873313120003935
Companion of the Claw (red),common,1,MST057,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST057.png,6h97MQcbc89bqd99BGRht,Red,1,2,4,2,,,,"Mystic, Ninja, Action, Attack",,Go again,,,,,,"""When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.",,,,,,,,170,0.35490605427974947,0.30937409140750766,2.7799334400000006,2.8100456093023256,0.12686667398363247,0,0.0,0.0,0.0,0,0.0,0.0,0.0,170,0.9392265193370166,0.8187303302994264,0.33574959120033954,0.11191653040011318
